Skill,Count,Ranking
sql,28,0.35
pig,4,0.05
hive,5,0.0625
sas,12,0.15
hbase,2,0.025
d3,3,0.0375
cassandra,1,0.0125
java,16,0.2
rdbms,1,0.0125
scala,2,0.025
excel,17,0.2125
tableau,5,0.0625
perl,2,0.025
mahout,1,0.0125
matlab,2,0.025
flume,1,0.0125
python,24,0.3
mongodb,1,0.0125
javascript,1,0.0125
oozie,1,0.0125
spark,12,0.15
php,4,0.05
ruby,2,0.025
c++,4,0.05
spss,4,0.05
r,40,0.5
splunk,1,0.0125
hadoop,12,0.15
powerpoint,2,0.025
